scorer,,,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia,katia
individuals,,,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5
bodyparts,,,mouth,mouth,eye,eye,skull,skull,upper tail bone,upper tail bone,lower tail bone,lower tail bone,upper tail,upper tail,lower tail,lower tail,pectoral fin,pectoral fin,anal fin start,anal fin start,anal fin mid,anal fin mid,dorsal fin_base,dorsal fin_base,doesal fin_tip,doesal fin_tip,stomach,stomach,middle,middle,mouth,mouth,eye,eye,skull,skull,upper tail bone,upper tail bone,lower tail bone,lower tail bone,upper tail,upper tail,lower tail,lower tail,pectoral fin,pectoral fin,anal fin start,anal fin start,anal fin mid,anal fin mid,dorsal fin_base,dorsal fin_base,doesal fin_tip,doesal fin_tip,stomach,stomach,middle,middle,mouth,mouth,eye,eye,skull,skull,upper tail bone,upper tail bone,lower tail bone,lower tail bone,upper tail,upper tail,lower tail,lower tail,pectoral fin,pectoral fin,anal fin start,anal fin start,anal fin mid,anal fin mid,dorsal fin_base,dorsal fin_base,doesal fin_tip,doesal fin_tip,stomach,stomach,middle,middle,mouth,mouth,eye,eye,skull,skull,upper tail bone,upper tail bone,lower tail bone,lower tail bone,upper tail,upper tail,lower tail,lower tail,pectoral fin,pectoral fin,anal fin start,anal fin start,anal fin mid,anal fin mid,dorsal fin_base,dorsal fin_base,doesal fin_tip,doesal fin_tip,stomach,stomach,middle,middle,mouth,mouth,eye,eye,skull,skull,upper tail bone,upper tail bone,lower tail bone,lower tail bone,upper tail,upper tail,lower tail,lower tail,pectoral fin,pectoral fin,anal fin start,anal fin start,anal fin mid,anal fin mid,dorsal fin_base,dorsal fin_base,doesal fin_tip,doesal fin_tip,stomach,stomach,middle,middle
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,video5min_labeled,img00007.jpg,,,,,,,,,,,840.013239503154,576.9301856402236,840.217672342573,623.3364401883297,,,864.1363145545923,648.6861122762818,851.2570456711973,653.1836347434992,,,852.0747770288732,570.3883347788167,852.892508386549,609.0261414290019,,,871.9047624525132,638.0556046264954,,,874.0877963447404,606.1568500035235,927.3344232464594,588.7876294633905,930.4665777700899,599.0383169952722,954.1001073574839,571.9878915639177,951.8221767948435,598.1840930342821,877.789433509031,616.1227962150751,931.714170573461,618.0836887904092,938.9474020206399,606.7406667482425,900.4797620515529,578.1365242071266,929.7414710878669,571.889642502745,908.9143431506118,632.1786064644566,917.3182630927463,597.8321510487762,,,,,,,1151.692790467334,669.3987674297505,1151.692790467334,684.5755802405863,1159.695109949411,652.0144182100657,1160.7988781538356,687.8868848538596,1116.0962658746464,682.0921017806313,1122.994817152299,722.1036991910167,1139.8272822697713,725.41500380429,1124.3745274078294,655.6016648744452,1137.0678617587105,648.1512294945803,1117.2000340790707,712.1697853511969,1139.5513402186652,678.7807971673581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,video5min_labeled,img00009.jpg,,,,,,,852.6875850830422,595.0722378561069,852.4475755703361,612.3529227709487,845.9673187272704,578.9916005047959,849.3274519051563,618.353160588602,,,,,856.5277372863403,646.1942640625136,,,857.0077563117526,566.2710963313707,870.4482890232962,638.7539691686235,859.407851438814,600.8324661610542,,,,,,,929.0106101235931,582.591743195388,932.370743301479,597.9523520085805,950.131447241733,565.7910773059584,950.8514757798514,595.5522568815192,875.9685078155372,611.6328942328303,913.4099917976944,624.8334174316676,928.770600610887,613.0729513090671,886.5289263746072,580.1916480683266,925.1704579202949,566.5111058440768,884.6088502729581,631.5536837874395,918.4501915645232,591.4720951655149,,,,,,,1148.4179725017734,660.930043792026,1150.6472107164984,679.3719235683858,1159.9694796144386,648.1625885622384,1160.7801116925202,683.4250839587946,1115.790031358983,683.8303999978355,1122.680404022678,714.2291029259011,1140.1089937014356,712.6078387697377,1121.4644559055553,647.1492984646362,1136.4611493500677,639.2456357033391,1115.3847153199422,701.8669637351544,1138.8930455843129,672.8868669437318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,video5min_labeled,img00011.jpg,,,,,,,,,,,855.4211477365657,565.4062841086599,860.930157160571,608.6913581544148,,,,,861.4548247247619,639.3844106595866,,,862.2418260710483,555.9622679532224,878.5065205609684,625.4807202085258,867.7508354950535,595.3123352675451,,,,,,,926.513602684442,572.4892962252379,931.4979445442563,585.6059853300121,941.4666282638847,558.8479395562728,943.8276323027441,586.1306528942032,,,903.9528974242304,618.6600418740433,928.087605377015,599.5096757810728,881.3921921640188,572.4892962252379,913.1345797975723,558.0609382099863,884.8025313312601,624.6937188622394,916.5449189648136,583.2449812911528,,,1111.0928436602965,651.9149264327045,,,1150.4288523406913,649.9232297906592,1150.1798902604357,665.1099166862547,1163.6238425942415,636.9772016173647,1159.3914872298951,674.3215136557142,1112.835578222086,666.354727087533,1121.3002889507786,698.2218733602579,1139.2255587291866,698.2218733602579,1118.063781907455,631.9979600122515,1136.9849000068855,625.5249459256042,1113.3335023825975,686.271693507986,1139.7234828896978,658.8858646798631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,video5min_labeled,img00015.jpg,,,,,,,,,,,870.7305691783698,556.0163791231131,879.3492363863257,603.7937734280863,,,,,877.6629754108561,634.3338333171475,,,,,,,867.9201342192538,591.2404972773678,,,,,,,921.9263714424989,565.8571324566623,924.1532406622387,583.3937275621126,933.8957934985999,556.3929382727683,940.0196838528842,583.9504448670476,,,909.6785907339304,609.5594408940545,925.8233925770434,595.0847909657463,889.6367677562728,560.0116007548454,920.812936832629,554.4444277054961,,,913.0188945635399,577.8265545127633,1105.3818101823515,655.2002323117063,1109.1555743900185,633.2652278546415,1112.4576180717272,619.5853326018484,1151.610421726273,637.0389920623086,1152.5538627781896,649.7754462631848,1170.4792427646082,627.604581543141,1161.9882732973574,663.9270620419363,1110.0990154419353,645.5299615295594,1147.8366575186058,671.7104507202496,1126.845094113458,681.8524420283547,1123.7789106947284,608.7357605048056,1140.524989366251,611.5660836605559,1110.8065962308729,673.8331930870622,1139.1098277883757,646.4734025814762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,video5min_labeled,img00017.jpg,,,,,,,,,,,877.8645257671702,552.2097729689524,889.6911240085947,605.7406913248738,,,,,884.0890511573937,635.6184131979462,,,,,,,874.7522630720586,588.9344727712705,,,,,,,919.5688458816671,567.1486339054886,919.2576196121558,578.3527796078907,941.0434584779379,560.9241085152653,941.9771372864714,582.398721111536,,,917.3902619950888,601.3835235517174,900.5840434414856,612.2764429846084,890.9360290866393,558.745524628687,920.8137509597118,557.1893932811312,,,909.6096052573096,574.9292906432679,,,1106.7376453980175,629.3954809347993,1114.39168384701,616.3198319177704,1155.851058779053,635.7738463089597,1154.8943039729288,654.2711058940249,1170.5212991396218,626.5252165164271,1164.7807703028775,662.5629808804335,1108.6511550102657,642.1522116831202,1133.8456982381995,681.3791587342068,1148.1970203300602,672.1305289416741,1123.9592319082508,605.7955290504058,1138.6294722688197,606.4333655878218,1115.348438653134,676.5953847035864,1141.499736687192,642.1522116831202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,video5min_labeled,img00019.jpg,,,,,,,,,,,892.7727554711494,552.9162752311029,899.5286917410419,612.7545679072949,,,,,892.7727554711494,633.3440879679201,,,,,,,884.7299741974675,591.8433365957225,,,,,,,922.2301854552157,568.6341729406631,922.621608553944,582.1382698467877,944.5413020827258,555.3257875839028,940.4313595460792,585.2696546366136,,,,,918.3159544679332,597.5994822465534,902.2676074200751,557.8700377256364,921.055916159031,556.3043453307233,,,912.6403195363737,576.0712118164998,1103.5863632025726,648.9778882477768,1108.4927513486277,629.7612013423936,1115.6479007282917,614.8376040648089,1160.623125400465,632.6232610942593,1160.4186925610459,652.2488136784802,1182.0885735394568,623.8326489992436,1170.2314688531565,660.2216944158201,1110.5370797428175,640.1872761527611,1135.2734533125126,678.4162171241084,1150.8103491083543,670.2389035473495,1128.3227367722677,604.8203949332794,1144.0640654075285,606.4558576486312,1117.4877962830624,675.1452916934048,1144.2684982469473,637.1207835614766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,video5min_labeled,img00022.jpg,,,,,,,,,,,912.3161460958498,555.5575281760082,904.9921077491765,618.8889185854778,,,,,898.3143080801508,630.090388998037,,,,,,,895.5139404770109,589.8081780913336,,,,,,,,,,,934.8971969192314,551.9680127942463,936.6747384685331,585.8912650428606,,,,,,,,,,,,,,,1097.3670010391245,647.9847067704729,1108.4982038331352,625.7223011824515,1109.5754170067491,613.8729562726982,1159.1272229929905,631.4674381083926,1159.4862940508617,650.1391331177008,1178.8761311759126,623.2088037773524,1172.412852134229,659.1159095644837,1106.3437774859074,637.2125750343336,1137.5829595207115,672.4015387057223,1150.86858866195,663.7838333168107,1120.7066198007599,604.1780377101727,1140.4555279836823,602.7417534786875,1112.807056527591,669.8880413006231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
